season,ep_1,ep_2,ep_3,ep_4,ep_5,ep_6,ep_7,ep_8,ep_9,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,num_eps
1,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Make Over,Ball,Recap,Finale,Reunion,NA,NA,NA,NA,NA,NA,NA,9
2,Ep. 1,Ep. 2,Ep. 3,Snatch Game,Ep. 5,Ep. 6,Ep. 7,Make Over,Ball,Recap,Finale,Reunion,NA,NA,NA,NA,12
3,Casting Special,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Snatch Game,Ep. 7,Ep. 8,Ep. 9,Ep.10,Ball,Make Over,Ball,Recap,Finale,Reunion,16
4,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Snatch Game,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Make Over,Ball,Recap,Ep. 13,Grand Finale,NA,NA,14
5,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Snatch Game,Ep. 6,Roast,Ep. 8,Ep. 9,Make Over,Ball,Ep. 12,Recap,Grand Finale,NA,NA,14
6,Premiere,Premiere,Ep. 3,Rusical,Snatch Game,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Make Over,Ball,Ep. 12,Recap,Grand Finale,NA,NA,14
7,Ep. 1,Rusical,Ep. 3,Ep.4,Ep.5,Ep. 6,Snatch Game,Make Over,Ep.9,Ep.10,Ball,Ep. 12,Recap,Grand Finale,NA,NA,14
8,Ep. 1,Rusical,Ep. 3,Ep. 4,Snatch Game,Make Over,Ep. 7,Ball,Ep. 9,Grand Finale,NA,NA,NA,NA,NA,NA,10
9,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Rusical,Snatch Game,Ep. 7,Roast,Ep. 9,Make Over,Ball,Ep. 12,Reunion,Grand Finale,NA,NA,14
10,Ep. 1,Rusical,Ep. 3,Ball,Ep. 5,Ep. 6,Snatch Game,Rusical,Ep. 9,Make Over,Ep.11,Ep. 12,Reunion,Grand Finale,NA,NA,14
11,Ep. 1,Ep. 2,Ep. 3,Rusical,Ball,Ep. 6,Ep. 7,Snatch Game,Ep. 9,Ep.10,Make Over,Ep. 12,Reunion,Grand Finale,NA,NA,14
12,Premiere,Premiere,Ep. 3,Ball,Ep. 5,Snatch Game,Rusical,Ep. 8,Ep. 9,Make Over,Ep. 11,Rusical,Reunion,Grand Finale,NA,NA,14
13,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ball,Ep. 6,Ep. 7,Rusical,Snatch Game,Make Over,Ep. 11,Roast,NA,NA,NA,NA,12
